

        TIME                    RATE            ERROR
        s                       count/s         count/s
     50   2.940000000000000E+03   5.5875663E-02   3.9510060E-02
     51   3.000000000000000E+03   2.5887685E-02   2.5887685E-02
     52   3.060000000000000E+03   5.1342051E-02   3.6304310E-02
     53   3.120000000000000E+03   0.0000000E+00   0.0000000E+00
     54   3.180000000000000E+03   5.3287841E-02   3.7680194E-02
     55   3.240000000000000E+03   3.1414736E-02   3.1414736E-02
     56   3.300000000000000E+03   0.0000000E+00   0.0000000E+00
     57   5.760000000000000E+03   0.0000000E+00   0.0000000E+00
     58   5.820000000000000E+03   0.0000000E+00   0.0000000E+00
     59   5.880000000000000E+03   0.0000000E+00   0.0000000E+00
     60   5.940000000000000E+03   0.0000000E+00   0.0000000E+00
     61   6.000000000000000E+03   0.0000000E+00   0.0000000E+00
     62   6.060000000000000E+03   1.9421438E-02   1.9421438E-02
     63   6.120000000000000E+03   3.8172469E-02   2.6992010E-02
     64   6.180000000000000E+03   0.0000000E+00   0.0000000E+00
     65   6.240000000000000E+03   0.0000000E+00   0.0000000E+00
     66   6.300000000000000E+03   1.9621676E-02   1.9621676E-02
     67   6.360000000000000E+03   0.0000000E+00   0.0000000E+00
     68   6.420000000000000E+03   3.8925644E-02   2.7524587E-02
     69   6.480000000000000E+03   0.0000000E+00   0.0000000E+00
     70   6.540000000000000E+03   0.0000000E+00   0.0000000E+00
     71   6.600000000000000E+03   0.0000000E+00   0.0000000E+00
     72   6.660000000000000E+03   0.0000000E+00   0.0000000E+00
     73   6.720000000000000E+03   2.0058578E-02   2.0058578E-02
     74   6.780000000000000E+03   1.8938158E-02   1.8938158E-02
     75   6.840000000000000E+03   0.0000000E+00   0.0000000E+00
     76   6.900000000000000E+03   1.8573899E-02   1.8573899E-02
     77   6.960000000000000E+03   1.8787196E-02   1.8787196E-02
     78   7.020000000000000E+03   1.9550206E-02   1.9550206E-02
     79   7.080000000000000E+03   1.8966297E-02   1.8966297E-02
     80   7.140000000000000E+03   3.9317310E-02   2.7801536E-02
     81   7.200000000000000E+03   3.9091770E-02   2.7642054E-02
     82   7.260000000000000E+03   3.7786342E-02   2.6718980E-02
     83   7.320000000000000E+03   1.9767122E-02   1.9767122E-02
     84   7.380000000000000E+03   2.0413255E-02   2.0413255E-02
     85   7.440000000000000E+03   0.0000000E+00   0.0000000E+00
     86   7.500000000000000E+03   0.0000000E+00   0.0000000E+00
     87   7.560000000000000E+03   0.0000000E+00   0.0000000E+00
     88   7.620000000000000E+03   1.9967522E-02   1.9967522E-02
     89   7.680000000000000E+03   2.2748806E-02   2.2748806E-02
     90   7.740000000000000E+03   2.1042908E-02   2.1042908E-02
     91   7.800000000000000E+03   5.0681885E-02   3.5837501E-02
     92   7.860000000000000E+03   2.1887029E-02   2.1887029E-02
     93   7.920000000000000E+03   1.1554568E-01   5.1673595E-02
     94   7.980000000000000E+03   4.3224949E-02   3.0564655E-02
     95   8.040000000000000E+03   6.8443038E-02   3.9515607E-02
     96   8.100000000000000E+03   2.4009507E-02   2.4009507E-02
     97   8.160000000000000E+03   0.0000000E+00   0.0000000E+00
     98   8.220000000000000E+03   0.0000000E+00   0.0000000E+00
     99   8.280000000000000E+03   2.4823334E-02   2.4823334E-02
    100   8.340000000000000E+03   0.0000000E+00   0.0000000E+00
    101   8.400000000000000E+03   3.2375053E-02   3.2375053E-02
    102   8.460000000000000E+03   0.0000000E+00   0.0000000E+00
    103   8.520000000000000E+03   0.0000000E+00   0.0000000E+00
    104   8.580000000000000E+03   2.6177960E-02   2.6177960E-02
    105   8.640000000000000E+03   4.8900511E-02   3.4577884E-02
    106   8.700000000000000E+03   2.1517642E-02   2.1517642E-02
    107   8.760000000000000E+03   2.2034336E-02   2.2034336E-02
    108   8.820000000000000E+03   4.4945959E-02   3.1781591E-02
    109   8.880000000000000E+03   6.2749662E-02   3.6228534E-02
    110   8.940000000000000E+03   4.3682493E-02   3.0888187E-02
    111   9.000000000000000E+03   5.2368354E-02   3.7030015E-02
    112   9.060000000000000E+03   0.0000000E+00   0.0000000E+00
    113   1.158000000000000E+04   2.4434622E-01   2.4434622E-01
    114   1.164000000000000E+04   1.9967608E-02   1.9967608E-02
    115   1.170000000000000E+04   0.0000000E+00   0.0000000E+00
    116   1.176000000000000E+04   1.8310869E-02   1.8310869E-02
    117   1.182000000000000E+04   1.9564424E-02   1.9564424E-02
    118   1.188000000000000E+04   1.9590795E-02   1.9590795E-02
    119   1.194000000000000E+04   3.7151519E-02   2.6270092E-02
    120   1.200000000000000E+04   7.4414529E-02   3.7207264E-02
    121   1.206000000000000E+04   0.0000000E+00   0.0000000E+00
    122   1.212000000000000E+04   3.6796555E-02   2.6019093E-02
    123   1.218000000000000E+04   0.0000000E+00   0.0000000E+00
    124   1.224000000000000E+04   0.0000000E+00   0.0000000E+00
    125   1.230000000000000E+04   1.8492579E-02   1.8492579E-02
    126   1.236000000000000E+04   1.9551411E-02   1.9551411E-02
    127   1.242000000000000E+04   0.0000000E+00   0.0000000E+00
    128   1.248000000000000E+04   1.8436890E-02   1.8436890E-02
    129   1.254000000000000E+04   0.0000000E+00   0.0000000E+00
    130   1.260000000000000E+04   0.0000000E+00   0.0000000E+00
    131   1.266000000000000E+04   0.0000000E+00   0.0000000E+00
    132   1.272000000000000E+04   1.8123547E-02   1.8123547E-02
    133   1.278000000000000E+04   1.8253699E-02   1.8253699E-02
    134   1.284000000000000E+04   1.8082539E-02   1.8082539E-02
    135   1.290000000000000E+04   1.8088259E-02   1.8088259E-02
    136   1.296000000000000E+04   1.8208625E-02   1.8208625E-02
    137   1.302000000000000E+04   1.8113792E-02   1.8113792E-02
    138   1.308000000000000E+04   0.0000000E+00   0.0000000E+00
    139   1.314000000000000E+04   3.6353655E-02   2.5705915E-02
    140   1.320000000000000E+04   3.7245438E-02   2.6336500E-02
    141   1.326000000000000E+04   1.8493358E-02   1.8493358E-02
    142   1.332000000000000E+04   0.0000000E+00   0.0000000E+00
    143   1.338000000000000E+04   0.0000000E+00   0.0000000E+00
    144   1.344000000000000E+04   3.7560970E-02   2.6559616E-02
    145   1.350000000000000E+04   1.9358667E-02   1.9358667E-02
    146   1.356000000000000E+04   3.9397854E-02   2.7858490E-02
    147   1.362000000000000E+04   0.0000000E+00   0.0000000E+00
