

        TIME                    RATE            ERROR
        s                       count/s         count/s
    262   2.562000000000000E+04   3.1169894E-01   1.0389965E-01
    263   2.568000000000000E+04   2.7651364E-01   9.7762324E-02
    264   2.574000000000000E+04   3.4642252E-01   1.0954842E-01
    265   2.580000000000000E+04   3.7998074E-01   1.1456851E-01
    266   2.586000000000000E+04   1.7285249E-01   7.7301987E-02
    267   2.592000000000000E+04   4.1507387E-01   1.1982150E-01
    268   2.598000000000000E+04   2.0761739E-01   8.4759444E-02
    269   2.604000000000000E+04   1.7275755E-01   7.7259526E-02
    270   2.610000000000000E+04   4.8484412E-01   1.2958004E-01
    271   2.616000000000000E+04   2.7656946E-01   9.7782061E-02
    272   2.622000000000000E+04   4.8362741E-01   1.2925486E-01
    273   2.628000000000000E+04   2.4299984E-01   9.1845304E-02
    274   2.634000000000000E+04   2.4302436E-01   9.1854580E-02
    275   2.640000000000000E+04   3.1128395E-01   1.0376131E-01
    276   2.646000000000000E+04   1.4576326E-01   7.2881632E-02
    277   2.898000000000000E+04   2.9242533E-01   1.1938214E-01
    278   2.904000000000000E+04   4.1341731E-01   1.1934329E-01
    279   2.910000000000000E+04   1.7303298E-01   7.7382706E-02
    280   2.916000000000000E+04   4.4794154E-01   1.2423662E-01
    281   2.922000000000000E+04   3.7956131E-01   1.1444204E-01
    282   2.928000000000000E+04   2.4175039E-01   9.1373056E-02
    283   2.934000000000000E+04   2.4112429E-01   9.1136418E-02
    284   2.940000000000000E+04   2.0653242E-01   8.4316507E-02
    285   2.946000000000000E+04   3.4384412E-01   1.0873306E-01
    286   2.952000000000000E+04   3.4377688E-01   1.0871179E-01
    287   2.958000000000000E+04   2.7568087E-01   9.7467899E-02
    288   2.964000000000000E+04   3.0928060E-01   1.0309353E-01
    289   2.970000000000000E+04   2.0602441E-01   8.4109113E-02
    290   2.976000000000000E+04   3.0947390E-01   1.0315797E-01
    291   2.982000000000000E+04   3.4283283E-01   1.0841326E-01
    292   2.988000000000000E+04   3.4379044E-01   1.0871609E-01
    293   2.994000000000000E+04   4.4560003E-01   1.2358721E-01
    294   3.000000000000000E+04   3.7635306E-01   1.1347472E-01
    295   3.006000000000000E+04   2.0558214E-01   8.3928555E-02
    296   3.012000000000000E+04   1.7140722E-01   7.6655641E-02
    297   3.018000000000000E+04   2.4005350E-01   9.0731695E-02
    298   3.024000000000000E+04   3.4335753E-01   1.0857918E-01
    299   3.030000000000000E+04   2.0647696E-01   8.4293872E-02
    300   3.036000000000000E+04   4.8099899E-01   1.2855239E-01
    301   3.042000000000000E+04   2.7451730E-01   9.7056516E-02
    302   3.048000000000000E+04   2.7449214E-01   9.7047627E-02
    303   3.054000000000000E+04   1.3779956E-01   6.8899781E-02
    304   3.060000000000000E+04   1.7194748E-01   7.6897249E-02
    305   3.066000000000000E+04   3.7878016E-01   1.1420652E-01
    306   3.072000000000000E+04   3.1062785E-01   1.0354261E-01
    307   3.078000000000000E+04   4.1417620E-01   1.1956237E-01
    308   3.084000000000000E+04   6.5578109E-01   1.5044650E-01
    309   3.090000000000000E+04   3.1096482E-01   1.0365494E-01
    310   3.096000000000000E+04   3.4469163E-01   1.0900106E-01
    311   3.102000000000000E+04   4.1449350E-01   1.1965396E-01
    312   3.108000000000000E+04   3.4522879E-01   1.0917093E-01
